,,INGREDIENTS OF CHICKEN SOUP FOR THE SOUL.,,,,,,
,,,,,,,,
Sl no.,Ingredient types,Sl No,Item,Quantity,Calorie count,Criteerion,,
,,,,,,,,
1,Meat,1,Chicken,900 gm,177 kcal,main ingredient - provides protien,,
2,Vegetables,2,Potato,3 meduim sized,75 kcal,source of carbohydrates,,
,,3,Carrot,1,41 kcal,vitamin C,,
,,4,spring beans,100 gm,31 kcal,protien,,
,,5,onion,2 large,40 kcal,flavour,,
,,6,ginger,2inch piece,80 kcal,flavour,,
,,7,garlic,10 cloves,149 kcal,flavour,,
,,8,mushroom,100 gm,22 kcal,protien,,
,,9,chillies,3 pcs,40 kcal,spice,,
3,Seasonings,10,salt,1 tbsp,0 kcal,taste maker,,
,,11,pepper,1/2 tbsp,255 kcal,seasoning,,
4,Cooking medium,12,butter,50 gm,717 kcal,fat,,
,,13,water,1 liter,0 kcal,makes the broth,,
